Chunk_Index,Chunk_Start_Time,RMSE_Omega,Is_Unstable,P0_Effective,Omega_Std,Omega_Mean
191,2024-08-23 07:00:00,0.06000876,0,3.76253979e-04,6.59699876e-02,-6.76988050e-03
192,2024-08-23 08:00:00,0.03325130,0,3.11536422e-04,3.61551213e-02,1.39833656e-02
193,2024-08-23 09:00:00,0.05547050,0,1.26384607e-04,5.70967763e-02,-7.70477827e-03
194,2024-08-23 10:00:00,0.05819639,0,1.05185946e-04,5.50382320e-02,1.93212085e-02
195,2024-08-23 11:00:00,0.06831300,0,2.05181791e-03,3.35291870e-02,5.74942906e-02
196,2024-08-23 12:00:00,0.07822263,0,2.09033085e-03,5.84441501e-02,6.27040547e-02
197,2024-08-23 13:00:00,0.06764485,0,6.40355866e-04,5.41503771e-02,3.17547726e-02
198,2024-08-23 14:00:00,0.05268760,0,1.39795775e-03,6.26946252e-02,2.88240593e-02
199,2024-08-23 15:00:00,0.06973132,0,3.89659146e-04,7.56134364e-02,-6.19751636e-04
200,2024-08-23 16:00:00,0.06648311,0,-3.37019305e-04,6.78479025e-02,-1.21980564e-02
201,2024-08-23 17:00:00,0.06920136,0,-6.96064322e-04,6.54029631e-02,-2.04735524e-02
202,2024-08-23 18:00:00,0.07261369,0,1.14888632e-03,6.55897924e-02,3.21076484e-02
203,2024-08-23 19:00:00,0.07787153,0,1.90728186e-03,5.16493647e-02,5.38434797e-02
204,2024-08-23 20:00:00,0.09788847,0,2.51949324e-03,8.22913234e-02,6.05319384e-02
205,2024-08-23 21:00:00,0.06479205,0,-1.11103270e-04,6.44952070e-02,-8.62760403e-03
206,2024-08-23 22:00:00,0.13185979,0,6.54148082e-04,1.20013963e-01,3.63495971e-02
207,2024-08-23 23:00:00,0.05480422,0,8.17605775e-04,6.37925668e-02,1.44650470e-02
208,2024-08-24 00:00:00,0.06874171,0,-8.13932202e-05,6.84059663e-02,4.16219384e-03
