Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
7892,2024-09-11 13:00:00,0.004688,0.082961,0.058756,0.1236,1348,0,1.00000omega,0.001871 + 0.00014theta + 0.00195omega + -0.00057theta^2 + 0.00052theta omega + 0.00041omega^2
7893,2024-09-11 13:05:00,,,,235.6059,20,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7894,2024-09-11 13:10:00,,,,170.7443,33,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7895,2024-09-11 13:15:00,0.004999,0.16774,0.118663,2.2474,2362,0,1.00000omega,-0.000971 + 0.00002theta + -0.00199omega + 0.00016theta^2 + 0.00029theta omega + 0.00146omega^2
7896,2024-09-11 13:20:00,0.017368,0.909121,0.642963,-63.8257,2421,0,1.00000omega,-0.000961 + 0.00006theta + -0.00157omega + 0.00018theta^2 + -0.00003theta omega + -0.00169omega^2
7897,2024-09-11 13:25:00,,,,143.4599,28,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7898,2024-09-11 13:30:00,0.004043,0.043783,0.031091,0.2395,1116,0,1.00000omega,-0.009811 + -1.27495theta + -0.00652omega + 0.00080theta^2 + 0.00407theta omega + -0.00494omega^2
7899,2024-09-11 13:35:00,0.005096,0.127061,0.089918,0.2852,1556,0,1.00000omega,-0.000211 + 0.00019theta + -0.00295omega + 0.00071theta^2 + -0.00017theta omega + -0.00041omega^2
7900,2024-09-11 13:40:00,,,,-1.1891594877036068e+26,1721,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7901,2024-09-11 13:45:00,0.045632,1.060801,0.750793,300.0168,34,5,1.00000omega,0.000881 + 0.00031theta + 0.00102omega + -0.00002theta^2 + 0.00002theta omega + 0.00037omega^2
7902,2024-09-11 13:50:00,,,,12431.6299,17,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7903,2024-09-11 13:55:00,,,,576.087,63,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7904,2024-09-11 14:00:00,0.00479,0.184638,0.130603,0.7133,1912,0,1.00000omega,-0.004011 + -0.00079theta + -0.00029omega + -0.00005theta^2 + -0.00018theta omega + -0.00172omega^2
7905,2024-09-11 14:05:00,0.009436,0.082096,0.058433,1.1429,1416,0,1.00000omega,-0.006961 + 0.00488theta + -0.00158omega + 0.00110theta^2 + -0.00007theta omega + -0.00119omega^2
7906,2024-09-11 14:10:00,0.006541,0.420915,0.297668,4.1137,2175,0,1.00000omega,-0.001171 + -0.00145theta + 0.01319omega + 0.00005theta^2 + -0.00028theta omega + -0.00024omega^2
7907,2024-09-11 14:15:00,0.006095,0.107419,0.076079,-335.2572,3093,0,1.00000omega,0.004981 + 0.00033theta + 0.00428omega + -0.00006theta^2 + 0.00002theta omega + -0.00067omega^2
7908,2024-09-11 14:20:00,0.005155,0.126481,0.08951,4.221,1710,0,1.00000omega,0.000281 + -0.00066theta + 0.01307omega + -0.00005theta^2 + -0.00037theta omega + 0.00086omega^2
7909,2024-09-11 14:25:00,0.007253,0.139323,0.098649,-0.5896,2864,0,1.00000omega,0.000631 + -0.00076theta + -0.00234omega + -0.00000theta^2 + 0.00014theta omega + -0.00008omega^2
7910,2024-09-11 14:30:00,0.005396,0.454107,0.321124,-112421528.0,2873,0,1.00000omega,0.012241 + 0.00056theta + -0.00146omega + 0.00001theta^2 + -0.00023theta omega + 0.00084omega^2
7911,2024-09-11 14:35:00,0.004185,0.081343,0.057594,-2.557,1692,0,1.00000omega,0.002051 + -0.00192theta + 0.00047omega + 0.00090theta^2 + -0.00032theta omega + -0.00113omega^2
7912,2024-09-11 14:40:00,0.022828,0.232066,0.164888,-51241.9531,860,0,1.00000omega,-0.005881 + 0.00064theta + 0.00215omega + -0.00002theta^2 + 0.00026theta omega + 0.00113omega^2
7913,2024-09-11 14:45:00,0.007746,0.041211,0.029651,-2.6329,1858,0,1.00000omega,-0.010571 + -0.09971theta + 0.00151omega + -0.00021theta^2 + -0.00245theta omega + -0.00428omega^2
7914,2024-09-11 14:50:00,0.031333,0.805061,0.569695,42.4676,23,5,1.00000omega,0.001671 + -0.00298theta + 0.00122omega + 0.00123theta^2 + -0.00035theta omega + 0.00028omega^2
7915,2024-09-11 14:55:00,0.031029,0.476564,0.337695,487.671,139,5,1.00000omega,0.000071 + -0.00003theta + 0.00300omega + -0.00000theta^2 + -0.00000theta omega + 0.00018omega^2
7916,2024-09-11 15:00:00,,,,220.593,60,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7917,2024-09-11 15:05:00,0.005148,0.04252,0.030286,-0.3882,983,0,1.00000omega,-0.006351 + -0.01080theta + 0.00313omega + -0.00172theta^2 + 0.00044theta omega + -0.00035omega^2
7918,2024-09-11 15:10:00,0.032001,1.026284,0.726045,116.3205,47,5,1.00000omega,-0.001981 + -0.02061theta + 0.00328omega + -0.00041theta^2 + -0.00092theta omega + -0.00064omega^2
7919,2024-09-11 15:15:00,0.008429,0.261858,0.185257,8.8945,1195,0,1.00000omega,0.002771 + -0.00008theta + -0.00016omega + -0.00003theta^2 + 0.00005theta omega + 0.00279omega^2
7920,2024-09-11 15:20:00,0.005501,0.159683,0.11298,2.5105,2335,0,1.00000omega,-0.000171 + 0.00029theta + 0.00025omega + -0.00000theta^2 + -0.00004theta omega + 0.00054omega^2
7921,2024-09-11 15:25:00,,,,337.8322,32,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7922,2024-09-11 15:30:00,,,,157.9215,33,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7923,2024-09-11 15:35:00,0.011544,0.657133,0.464735,-6220.041,2985,0,1.00000omega,-0.006501 + -0.00027theta + -0.00182omega + 0.00020theta^2 + 0.00026theta omega + 0.00299omega^2
7924,2024-09-11 15:40:00,0.031637,0.510025,0.361335,-137739.2656,548,0,1.00000omega,0.001341 + -0.00007theta + 0.00293omega + 0.00001theta^2 + 0.00258theta omega + -0.00047omega^2
7925,2024-09-11 15:45:00,,,,15.3649,117,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7926,2024-09-11 15:50:00,,,,44.3562,43,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7927,2024-09-11 15:55:00,,,,164.2291,40,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7928,2024-09-11 16:00:00,0.022258,0.142432,0.101937,22.9882,318,5,1.00000omega,0.008001 + -0.00101theta + 0.00037omega + 0.00043theta^2 + 0.00081theta omega + 0.00285omega^2
7929,2024-09-11 16:05:00,0.011895,0.361466,0.255733,1.1226,1697,0,1.00000omega,0.002691 + -0.11364theta + -0.00630omega + 0.00120theta^2 + 0.00228theta omega + 0.00720omega^2
7930,2024-09-11 16:10:00,0.005508,0.08519,0.060364,-1.4662,1461,0,1.00000omega,0.001361 + -0.12476theta + -0.05191omega + 0.00537theta^2 + 0.00788theta omega + -0.00955omega^2
7931,2024-09-11 16:15:00,0.029126,0.309117,0.219547,228.5604,48,5,1.00000omega,0.001201 + 0.00002theta + 0.00072omega + -0.00007theta^2 + -0.00035theta omega + 0.00080omega^2
7932,2024-09-11 16:20:00,0.011705,0.304607,0.215548,-19195544.0,2453,0,1.00000omega,0.000741 + 0.00175theta + 0.00037omega + 0.00000theta^2 + 0.00015theta omega + 0.00006omega^2
7933,2024-09-11 16:25:00,,,,166.1793,43,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7934,2024-09-11 16:30:00,,,,17.8817,179,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7935,2024-09-11 16:35:00,0.004667,0.021994,0.015898,-1.7948,2723,4,1.00000omega,-0.000281 + -0.00017theta + 0.00126omega + -0.00009theta^2 + 0.00078theta omega + 0.00238omega^2
7936,2024-09-11 16:40:00,0.005382,0.182871,0.129365,0.9247,1830,0,1.00000omega,-0.000741 + 0.00560theta + -0.00006omega + -0.00139theta^2 + 0.00066theta omega + -0.00172omega^2
7937,2024-09-11 16:45:00,0.006103,0.0835,0.059201,-1.0355,1247,0,1.00000omega,0.009461 + -0.46373theta + 0.02115omega + 0.01315theta^2 + 0.00232theta omega + -0.00545omega^2
7938,2024-09-11 16:50:00,0.006479,0.175695,0.124319,2.084,1682,0,1.00000omega,-0.006371 + -0.04104theta + 0.00464omega + -0.00141theta^2 + 0.00056theta omega + -0.00579omega^2
7939,2024-09-11 16:55:00,,,,1116.3625,32,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7940,2024-09-11 17:00:00,,,,119.9539,44,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7941,2024-09-11 17:05:00,0.006004,0.275051,0.194537,-168633.6875,1620,0,1.00000omega,0.005031 + -0.00051theta + -0.00386omega + -0.00004theta^2 + 0.00001theta omega + -0.00301omega^2
7942,2024-09-11 17:10:00,0.00493,0.029017,0.020812,0.3406,2293,0,1.00000omega,0.004581 + -0.00451theta + 0.00756omega + -0.00016theta^2 + 0.00319theta omega + 0.00444omega^2
7943,2024-09-11 17:15:00,0.005379,0.076922,0.054525,-0.2927,1982,0,1.00000omega,-0.001841 + 0.00072theta + 0.00074omega + -0.00187theta^2 + 0.00565theta omega + -0.00373omega^2
7944,2024-09-11 17:20:00,0.004745,0.091877,0.065053,0.0462,1290,0,1.00000omega,-0.006281 + 0.00031theta + 0.01641omega + 0.00008theta^2 + -0.00068theta omega + -0.00018omega^2
7945,2024-09-11 17:25:00,0.02749,1.069815,0.756723,-133.008,631,0,1.00000omega,-0.026091 + -0.00883theta + 0.00167omega + -0.00039theta^2 + -0.00133theta omega + -0.00614omega^2
7946,2024-09-11 17:30:00,0.026774,0.841773,0.595524,64.6196,49,5,1.00000omega,0.018591 + 0.00041theta + -0.00621omega + 0.00020theta^2 + 0.00006theta omega + 0.00611omega^2
7947,2024-09-11 17:35:00,,,,75.0811,54,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7948,2024-09-11 17:40:00,0.0311,0.541481,0.383516,-57294.0547,616,0,1.00000omega,0.003171 + -0.00199theta + 0.00158omega + -0.00006theta^2 + -0.00027theta omega + 0.00081omega^2
7949,2024-09-11 17:45:00,,,,17.6974,43,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7950,2024-09-11 17:50:00,0.044001,1.486055,1.051261,-923.3456,527,0,1.00000omega,0.001581 + -0.00828theta + 0.00040omega + 0.00033theta^2 + 0.00075theta omega + 0.00596omega^2
7951,2024-09-11 17:55:00,0.006992,0.191571,0.135551,-2.1025,2601,0,1.00000omega,-0.060471 + -0.17846theta + 0.01263omega + -0.00067theta^2 + -0.00178theta omega + 0.00696omega^2
7952,2024-09-11 18:00:00,0.031627,0.409219,0.290224,257.1768,1132,1,1.00000omega,0.000191 + -0.00073theta + -0.00033omega + 0.00002theta^2 + -0.00004theta omega + -0.00003omega^2
7953,2024-09-11 18:05:00,,,,32.1978,65,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7954,2024-09-11 18:10:00,,,,112.102,63,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7955,2024-09-11 18:15:00,0.004689,0.059991,0.042549,-0.1793,1344,0,1.00000omega,0.002181 + 0.00012theta + 0.00496omega + -0.00068theta^2 + 0.00061theta omega + -0.01682omega^2
7956,2024-09-11 18:20:00,0.005196,0.020029,0.014631,0.3916,1198,0,1.00000omega,-0.001981 + -0.00190theta + -0.00003omega + 0.00139theta^2 + -0.00241theta omega + 0.00054omega^2
7957,2024-09-11 18:25:00,0.004737,0.080365,0.056925,2.3872,1936,0,1.00000omega,-0.007891 + -0.00098theta + 0.00040omega + 0.00023theta^2 + 0.00041theta omega + 0.00039omega^2
7958,2024-09-11 18:30:00,0.031483,0.608616,0.430932,-1216487.0,494,0,1.00000omega,0.000181 + -0.00942theta + -0.01078omega + -0.00087theta^2 + -0.00122theta omega + 0.00452omega^2
7959,2024-09-11 18:35:00,0.011054,0.504221,0.356624,-5208.0835,1789,0,1.00000omega,-0.026231 + -0.48965theta + 0.36862omega + -0.00039theta^2 + 0.00232theta omega + -0.02233omega^2
7960,2024-09-11 18:40:00,0.004938,0.069868,0.049527,-1.4737,1255,0,1.00000omega,-0.005421 + -0.63881theta + -0.00345omega + 0.00897theta^2 + 0.01238theta omega + 0.00428omega^2
7961,2024-09-11 18:45:00,0.00427,0.024347,0.017479,-2.3508,1410,0,1.00000omega,-0.003711 + -0.60059theta + 0.02853omega + -0.05687theta^2 + 0.00244theta omega + -0.10945omega^2
7962,2024-09-11 18:50:00,,,,471.5485,27,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7963,2024-09-11 18:55:00,0.005323,0.099364,0.070361,-0.8237,1032,0,1.00000omega,-0.005271 + -0.38268theta + 0.02465omega + 0.00455theta^2 + 0.00910theta omega + 0.00848omega^2
7964,2024-09-11 19:00:00,0.137108,6.032293,4.266577,-121546601398272.0,1955,5,1.00000omega,-0.002061 + -0.00054theta + -0.00003omega + -0.00056theta^2 + -0.00109theta omega + -0.00048omega^2
7965,2024-09-11 19:05:00,0.005993,0.076735,0.054425,0.6615,1439,0,1.00000omega,-0.000591 + -0.00150theta + -0.00143omega + -0.00057theta^2 + 0.00101theta omega + 0.00083omega^2
7966,2024-09-11 19:10:00,0.005923,0.117195,0.082975,-1.7042,1487,0,1.00000omega,-0.001061 + -0.00001theta + 0.00031omega + -0.00025theta^2 + -0.00030theta omega + 0.00013omega^2
7967,2024-09-11 19:15:00,0.006251,0.401015,0.283595,3.871,2305,0,1.00000omega,0.000091 + 0.00000theta + 0.00026omega + -0.00003theta^2 + 0.00016theta omega + 0.00012omega^2
7968,2024-09-11 19:20:00,0.029731,0.277751,0.197521,79.666,184,5,1.00000omega,-0.005211 + -0.00076theta + 0.00406omega + 0.00040theta^2 + 0.00117theta omega + 0.00001omega^2
7969,2024-09-11 19:25:00,0.004919,0.056659,0.040215,-13.0076,1816,0,1.00000omega,0.001951 + -0.00010theta + 0.00342omega + 0.00141theta^2 + -0.00358theta omega + 0.00218omega^2
7970,2024-09-11 19:30:00,0.016688,0.0962,0.06904,12.338,389,5,1.00000omega,0.009921 + -0.12098theta + 0.03266omega + 0.00015theta^2 + -0.00078theta omega + -0.00231omega^2
7971,2024-09-11 19:35:00,0.004518,0.08501,0.060196,-2.762,947,0,1.00000omega,0.021861 + -1.03399theta + -0.05805omega + 0.00528theta^2 + 0.01076theta omega + 0.00154omega^2
7972,2024-09-11 19:40:00,0.04196,0.881971,0.624353,-782.8591,337,0,1.00000omega,-0.001571 + -0.00188theta + -0.00113omega + 0.00013theta^2 + 0.00070theta omega + -0.00119omega^2
7973,2024-09-11 19:45:00,,,,1119.7966,37,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
7974,2024-09-11 19:50:00,0.044037,0.794641,0.562758,173.1219,355,0,1.00000omega,-0.005141 + -0.01534theta + 0.00461omega + -0.00106theta^2 + -0.00100theta omega + -0.02077omega^2
