chunk_id,t_start,n_points,equation,loss,complexity,sim_ok,rmse_omega,rmse_omega_std,rmse_theta,rmse_theta_std,const,omega_coef,theta_coef,omega_theta_coef,omega2_coef,theta2_coef,omega3_coef,theta2_omega_coef,theta_omega2_coef,theta3_coef
203,203,3600,(x1 - (0.04380847918450683 + 0.6715506733012597)) * x1,1.580100844532042e-28,7,True,5.987086560624004e-07,5.856063501112879e-07,8.340920623273223e-07,8.186261462834646e-07,,-0.7153591524857665,,,1.0,,,,,
204,204,3600,(x1 * -0.009090466607280207) + ((x0 * -1.538625046495711e-5) + 0.0055737440973230605),6.887697042453352e-13,9,True,0.0002086563232163,0.0002086557576429,0.1327676668816614,0.1327663268419493,0.005573744097323,-0.0090904666072802,-1.538625046495711e-05,,,,,,,
205,205,3600,x1 * -0.0022526171877930157,9.501238090832122e-22,3,True,5.610982530133862e-10,3.9984551129185984e-10,0.0003287402330138,7.844218753394567e-05,,-0.002252617187793,,,,,,,,
206,206,3600,-0.0023920028693135216 * x1,5.792832148674303e-23,3,True,2.280699960690645e-09,1.6497506865535224e-09,4.752694009668168e-06,1.7505739131532415e-06,,-0.0023920028693135,,,,,,,,
207,207,3600,x1 * x1,1.367847637021426e-27,3,True,5.962463588153336e-11,1.4252306461838216e-11,1.1302024700520369e-07,6.404620763427811e-08,,,,,1.0,,,,,
208,208,3600,-5.451715806765492e-19,4.805961883051314e-36,1,True,1.0549632585112113e-15,5.219138516824962e-16,3.8981527142241927e-11,1.926160001350765e-11,-5.451715806765493e-19,,,,,,,,,
209,209,3600,x1 * x1,9.533954136506392e-56,3,True,6.415930034751947e-25,3.2086189891895144e-25,3.608954109201576e-11,1.805525070346024e-11,,,,,1.0,,,,,
210,210,3600,((x1 * -0.009090466577794998) + -0.005573744084882926) + (x0 + (x0 * -1.0000153862504144)),6.887697036271013e-13,11,True,0.0002086562126608,0.0002086556473363,0.1327675007373884,0.1327661621063132,-0.0055737440848829,-0.0090904665777949,-1.53862504144002e-05,,,,,,,
211,211,3600,(x1 + (x1 + x1)) * -0.0007508724775518449,9.501211953185812e-22,7,True,5.471563736734187e-10,3.898950783533913e-10,0.0003287684559344,7.84523447755101e-05,,-0.0022526174326555,,,,,,,,
212,212,3600,(x1 * -0.0022762013630621162) - 6.391831508523182e-13,1.2499030916447182e-24,5,True,3.2686466458171187e-10,3.2516604274144877e-10,4.945641829762673e-07,1.773969413395379e-07,-6.391831508523182e-13,-0.0022762013630621,,,,,,,,
213,213,3600,(x0 * x1) * x1,1.3678669769568488e-27,5,True,5.962768207950963e-11,1.4253529806389656e-11,1.1302456120280118e-07,6.404910502988974e-08,,,,,,,,,1.0,
214,214,3600,5.450392317785407e-19,4.805961821222912e-36,1,True,1.0551081032002993e-15,5.217882164606025e-16,3.898154419222687e-11,1.9261606737383e-11,5.450392317785408e-19,,,,,,,,,
215,215,3600,((x1 - x0) + x1) + x0,0.0,7,True,0.0,0.0,3.608954109201576e-11,1.805525070346024e-11,,2.0,,,,,,,,
216,216,3600,(((x0 * -2.5752875002768568e-5) + 0.009329104287904004) * 0.5974575833453502) - (x1 * 0.00909046662111579),6.887697042185767e-13,11,True,0.0002086565968176,0.0002086560314874,0.1327676209821606,0.1327662815146756,0.0055737441026278,-0.0090904666211157,-1.5386250463348986e-05,,,,,,,
217,217,3600,x1 - (x1 + (x1 * 0.002252617432249193)),9.501211963451022e-22,7,True,5.471795098053384e-10,3.8991159072195564e-10,0.0003287684091797,7.845232795338191e-05,,-0.0022526174322491,,,,,,,,
218,218,3600,x1 * -0.002295436104823029,5.466709018237302e-24,3,True,7.226459358584099e-10,5.180138326127533e-10,1.5803370198783607e-06,5.777581626635223e-07,,-0.002295436104823,,,,,,,,
219,219,3600,(x0 + 0.0972510005017916) * -5.067391937998272e-17,1.0306945758292462e-27,5,True,2.790548821656704e-11,1.2688380832551828e-11,6.137533850393477e-08,3.0119665868071773e-08,-4.928089359050446e-18,,-5.067391937998272e-17,,,,,,,
220,220,3600,(x1 - x1) * x1,5.102847099016235e-36,5,True,1.9118103909666517e-15,2.305905102855093e-16,4.0977009195227416e-11,2.0517340210609383e-11,0.0,,,,,,,,,
221,221,3600,-3.3087224502121114e-24,1.0947644252537631e-47,1,True,6.875617695328671e-21,3.43852508075519e-21,3.608954109201576e-11,1.805525070346024e-11,-3.3087224502121114e-24,,,,,,,,,
222,222,3600,(x0 * -1.5386250462866465e-5) + ((x1 * -0.009090466621354914) + -0.00557374410275332),6.887697042185866e-13,9,True,0.0002086566045784,0.0002086560392608,0.1327676173359676,0.1327662779110858,-0.0055737441027533,-0.0090904666213549,-1.5386250462866465e-05,,,,,,,
223,223,3600,x1 - (x1 * 1.0022526175103743),9.501211924762616e-22,5,True,5.427312656837695e-10,3.8673684922374355e-10,0.0003287774138755,7.845556869298461e-05,,-0.0022526175103743,,,,,,,,
224,224,3600,x1 * -0.0015078679832460481,1.653778556800178e-21,3,True,1.7056655745911726e-08,1.0791326843875553e-08,3.659042652747447e-05,1.5026424882257524e-05,,-0.001507867983246,,,,,,,,
225,225,3600,1.8228474285564292e-14,1.0307123319962772e-27,1,True,2.8078212501830535e-11,1.259662555850012e-11,6.174107534215895e-08,3.0353450836516985e-08,1.822847428556429e-14,,,,,,,,,
226,226,3600,(-0.3114467244138999 * (x1 - (1.2062393503342792 + -1.3434963435934042))) * x1,5.670004581662822e-31,9,True,1.7473092314255523e-14,1.221793296073593e-15,4.022193528983527e-13,3.1912474728958244e-14,,-0.0427482409534552,,,-0.3114467244138999,,,,,
227,227,3600,8.271806125530278e-24,6.842277657836021e-47,1,True,1.7189044316537172e-20,8.596312747070799e-21,3.608954109201576e-11,1.805525070346024e-11,8.271806125530278e-24,,,,,,,,,
228,228,3600,(0.005573744101727543 - (x1 * 0.009090466621631238)) - (x0 * 1.5386250462676523e-5),6.887697042193392e-13,9,True,0.0002086566364467,0.0002086560710888,0.132767632067327,0.1327662923863744,0.0055737441017275,-0.0090904666216312,-1.5386250462676523e-05,,,,,,,
229,229,3600,x1 - (x1 * 1.0022526178798188),9.501266274999593e-22,5,True,5.216961136042213e-10,3.7172396612940027e-10,0.0003288199963605,7.84708942270592e-05,,-0.0022526178798187,,,,,,,,
230,230,3600,x1 * -0.0021722552598760596,1.9255913306650694e-23,3,True,1.413948110371611e-09,1.000568896689865e-09,2.8231963885142057e-06,1.084943042403341e-06,,-0.002172255259876,,,,,,,,
