Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
57027,2025-03-10 17:20:00,0.034524,0.346760,0.246408,0.123526,11.339629,8.018804,78.2708,56,5,1.00000omega,0.000381 + -0.00239theta + 0.00082omega + -0.00013theta^2 + -0.00019theta omega + 0.00081omega^2,0.0003*omega**2 - 2.0e-6*omega*theta + 5.6e-5*omega - 1.0e-6*theta + 2.6e-5,3.757423e-03,2.307604e-05
57028,2025-03-10 17:25:00,nan,nan,nan,nan,nan,nan,191.4426,26,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
57029,2025-03-10 17:30:00,nan,nan,nan,nan,nan,nan,71.4762,131,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
57030,2025-03-10 17:35:00,0.017830,0.083548,0.060408,0.103292,6.489014,4.589007,14.1492,678,0,1.00000omega,-0.000891 + -0.00225theta + 0.00339omega + -0.00054theta^2 + 0.00004theta omega + -0.00016omega^2,-5.5e-5*omega**2 + 0.000116*omega - 5.0e-6*theta - 2.9e-5,3.476205e-03,3.676855e-05
57031,2025-03-10 17:40:00,nan,nan,nan,nan,nan,nan,50.0632,54,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
57032,2025-03-10 17:45:00,0.011247,0.028459,0.021638,0.078881,1.942495,1.374684,8.6689,990,0,1.00000omega,-0.026981 + -0.89588theta + -0.00394omega + -0.00223theta^2 + -0.04600theta omega + 0.00136omega^2,0.000606*omega**2 - 0.000684*omega*theta + 0.001562*omega - 1.0e-6*theta**2 - 0.00099*theta + 0.002392,2.142641e-03,2.901590e-05
57033,2025-03-10 17:50:00,0.008849,0.212940,0.150702,0.068084,3.094895,2.188951,6.2248,3555,0,1.00000omega,0.030081 + -0.12708theta + 0.00241omega + 0.00154theta^2 + -0.00277theta omega + 0.00820omega^2,0.004119*omega**2 - 4.6e-5*omega*theta - 0.000761*omega + 1.0e-6*theta**2 - 0.00011*theta - 0.002212,9.159917e-04,2.054795e-05
57034,2025-03-10 17:55:00,0.010778,0.051768,0.037391,0.097970,2.760328,1.953076,-0.3858,1628,0,1.00000omega,-0.007461 + -0.25534theta + -0.00803omega + -0.11508theta^2 + 0.00671theta omega + 0.10109omega^2,0.02408*omega**2 + 5.3e-5*omega*theta - 0.000572*omega - 3.0e-5*theta**2 + 6.4e-5*theta + 0.000592,1.411555e-03,5.463890e-05
57035,2025-03-10 18:00:00,0.010128,0.058558,0.042021,0.183679,21.374779,15.114809,2.9893,1864,0,1.00000omega,-0.018591 + -0.00133theta + -0.00579omega + -0.00481theta^2 + 0.01428theta omega + -0.00574omega^2,-0.002082*omega**2 + 0.000173*omega*theta + 0.000596*omega - 2.0e-6*theta**2 - 1.9e-5*theta - 0.000104,1.183016e-03,3.675619e-05
57036,2025-03-10 18:05:00,0.013840,0.270581,0.191580,0.156121,19.549706,13.824171,5.7415,2002,0,1.00000omega,-0.001511 + -0.00042theta + -0.00211omega + -0.00029theta^2 + 0.00035theta omega + 0.00203omega^2,0.00067*omega**2 + 4.0e-6*omega*theta - 4.7e-5*omega - 2.0e-6*theta - 1.2e-5,1.210637e-03,4.993946e-05
57037,2025-03-10 18:10:00,nan,nan,nan,nan,nan,nan,434.8371,16,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
57038,2025-03-10 18:15:00,nan,nan,nan,nan,nan,nan,189.8594,28,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
57039,2025-03-10 18:20:00,0.011318,0.093283,0.066445,0.078787,2.909873,2.058345,4.8900,1189,0,1.00000omega,0.003581 + -0.21237theta + 0.02596omega + 0.00488theta^2 + -0.00291theta omega + 0.00146omega^2,0.000535*omega**2 - 3.6e-5*omega*theta + 0.001004*omega + 2.0e-6*theta**2 - 0.000251*theta + 0.00096,1.629226e-03,3.657698e-05
57040,2025-03-10 18:25:00,0.011263,0.039833,0.029271,0.121773,3.513445,2.485873,5.0579,1464,0,1.00000omega,0.031641 + -0.96542theta + 0.03155omega + -0.11128theta^2 + -0.37259theta omega + 0.04331omega^2,0.016379*omega**2 - 0.004697*omega*theta + 0.016278*omega - 4.7e-5*theta**2 - 0.00077*theta + 0.003079,4.515477e-04,5.591684e-05
57041,2025-03-10 18:30:00,0.010158,0.061922,0.044371,0.094360,2.887224,2.042666,6.8721,1274,0,1.00000omega,-0.005241 + -0.43812theta + -0.02788omega + -0.00575theta^2 + 0.00858theta omega + 0.00057omega^2,0.000261*omega**2 + 0.000131*omega*theta - 0.001317*omega - 3.0e-6*theta**2 - 0.000469*theta + 0.001406,5.261276e-04,4.940224e-05
57042,2025-03-10 18:35:00,0.010905,0.049093,0.035560,0.113485,9.148890,6.469739,4.2366,843,0,1.00000omega,0.001151 + -0.00642theta + -0.00163omega + -0.00058theta^2 + -0.00112theta omega + 0.00101omega^2,0.000373*omega**2 - 1.4e-5*omega*theta - 0.000192*omega - 1.2e-5*theta - 9.1e-5,4.255438e-04,4.550374e-05
57043,2025-03-10 18:40:00,0.013161,0.066725,0.048091,0.094654,2.754555,1.948914,5.2029,1988,0,1.00000omega,0.008641 + -0.45839theta + 0.00359omega + -0.00355theta^2 + 0.00053theta omega + 0.00848omega^2,0.002828*omega**2 + 6.0e-6*omega*theta + 0.000149*omega - 1.0e-6*theta**2 - 0.000522*theta - 0.002542,4.110950e-04,4.472691e-05
