Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
106550,2025-08-30 05:35:00,0.273711,41.194760,29.129737,0.004 1 + 0.980 omega + 0.002 theta omega + -0.239 omega^2,0.008 1 + -0.037 omega + 0.003 theta omega + -0.471 omega^2,8.1179594576e-03,3.6443758021e-04,-3.6694167476e-02,-3.0022615174e-06,3.1358435687e-03,-4.7077733042e-01
106551,2025-08-30 05:40:00,0.011021,0.249024,0.176259,-0.003 1 + 0.975 omega + -0.066 omega^2,-0.006 1 + -0.057 omega + -0.160 omega^2,-5.5397671997e-03,-7.4119561371e-05,-5.6841585098e-02,-6.6506033302e-07,-1.8298537735e-04,-1.6029042674e-01
106552,2025-08-30 05:45:00,nan,nan,nan,-0.011 1 + 0.907 omega + -0.002 theta omega + -0.173 omega^2,-0.021 1 + -0.001 theta + -0.186 omega + -0.004 theta omega + -0.348 omega^2,-2.1395576165e-02,-6.3436247899e-04,-1.8607703882e-01,-1.0203701086e-06,-3.6927490420e-03,-3.4780836403e-01
106553,2025-08-30 05:50:00,0.107995,5.150034,3.642425,1.004 omega + 0.013 omega^2,0.009 omega + 0.032 omega^2,3.9141104005e-04,4.2596986330e-05,8.5718191726e-03,-1.5021791873e-05,-2.4617323068e-04,3.1905498637e-02
106554,2025-08-30 05:55:00,0.032003,0.884288,0.625695,-0.001 1 + 0.978 omega + -0.216 omega^2,-0.001 1 + -0.042 omega + -0.001 theta omega + -0.435 omega^2,-1.1981589099e-03,1.2085240554e-04,-4.1717028432e-02,3.0626704711e-05,-6.4036114097e-04,-4.3475187018e-01
106555,2025-08-30 06:00:00,0.020869,0.596040,0.421722,0.001 1 + 1.009 omega + -0.066 omega^2,0.002 1 + 0.019 omega + -0.127 omega^2,1.8169409666e-03,-1.9459477453e-04,1.8663699235e-02,2.6506113700e-06,1.1170897966e-04,-1.2690820578e-01
106556,2025-08-30 06:05:00,0.017804,0.976362,0.690507,1.044 omega + -0.003 theta omega + 0.307 omega^2,-0.001 theta + 0.089 omega + -0.005 theta omega + 0.612 omega^2,-6.8805997629e-05,-7.8969299943e-04,8.9066067972e-02,6.4310377807e-07,-5.4844946193e-03,6.1200348454e-01
106557,2025-08-30 06:10:00,0.013329,0.916775,0.648326,-0.003 1 + 0.952 omega + -0.001 theta omega + -0.184 omega^2,-0.003 1 + -0.078 omega + -0.001 theta omega + -0.325 omega^2,-3.3665615133e-03,3.4601642879e-05,-7.7587045250e-02,3.6585857757e-06,-6.0259808495e-04,-3.2460998720e-01
106558,2025-08-30 06:15:00,0.205881,27.303382,19.306955,0.001 1 + 1.015 omega + 0.001 theta omega + -0.039 omega^2,0.002 1 + 0.032 omega + 0.002 theta omega + -0.077 omega^2,1.7015849602e-03,-5.7734466894e-05,3.2000435837e-02,-6.3094637950e-06,2.2297036949e-03,-7.7444161226e-02
106559,2025-08-30 06:20:00,0.027452,0.932954,0.659984,-0.001 1 + 0.967 omega + -0.002 theta omega + -0.113 omega^2,-0.001 1 + 0.001 theta + -0.062 omega + -0.004 theta omega + -0.217 omega^2,-1.2473689881e-03,5.9095979395e-04,-6.2090428843e-02,7.3801346665e-05,-4.3967239931e-03,-2.1734056678e-01
106560,2025-08-30 06:25:00,0.023196,0.670801,0.474612,-0.001 1 + 0.994 omega + -0.053 omega^2,-0.002 1 + -0.010 omega + 0.001 theta omega + -0.105 omega^2,-1.9491952692e-03,-9.0890306221e-05,-1.0324414166e-02,1.3913325289e-06,7.4796420214e-04,-1.0481236351e-01
106561,2025-08-30 06:30:00,0.021969,3.806246,2.691467,1.009 omega + -0.001 theta omega + 0.067 omega^2,-0.001 1 + 0.019 omega + -0.003 theta omega + 0.137 omega^2,-5.5117046431e-04,-3.8494084069e-04,1.8972695832e-02,1.6603357457e-05,-2.8296521119e-03,1.3685747196e-01
106562,2025-08-30 06:35:00,0.015729,0.422127,0.298696,0.001 1 + 1.025 omega + 0.115 omega^2,0.004 1 + 0.061 omega + 0.253 omega^2,3.9218057278e-03,3.2026776911e-05,6.0606167942e-02,-1.3074667162e-08,1.6321980033e-04,2.5301583397e-01
106563,2025-08-30 06:40:00,0.029116,0.698293,0.494197,0.002 1 + 0.995 omega + 0.001 theta omega + -0.073 omega^2,0.005 1 + 0.001 theta + -0.003 omega + 0.001 theta omega + -0.120 omega^2,4.8523118439e-03,1.0139899348e-03,-2.9769442786e-03,4.7962416871e-05,1.4875204102e-03,-1.1992084832e-01
106564,2025-08-30 06:45:00,nan,nan,nan,0.996 omega + 0.003 theta omega + -0.139 omega^2,0.001 1 + -0.007 omega + 0.005 theta omega + -0.282 omega^2,1.0188454653e-03,-3.2843602123e-04,-6.9760148047e-03,-7.6653174464e-05,5.0272289984e-03,-2.8234355650e-01
