Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
15038,2024-10-08 02:40:00,0.049699,6.274954,4.437201,-0.003 1 + 1.016 omega + -0.001 theta omega + 0.008 omega^2,-0.005 1 + 0.027 omega + -0.001 theta omega + 0.035 omega^2,-4.6413279806e-03,1.5231693452e-04,2.7324980576e-02,1.5512230707e-06,-1.3394669063e-03,3.5374102883e-02
15039,2024-10-08 02:45:00,0.026205,0.592047,0.419050,0.004 1 + 0.975 omega + 0.032 omega^2,0.008 1 + -0.053 omega + 0.001 theta omega + 0.070 omega^2,7.6834650635e-03,-6.0806867316e-05,-5.3044262495e-02,-4.7356691258e-06,9.4865370821e-04,7.0462242635e-02
15040,2024-10-08 02:50:00,nan,nan,nan,0.001 1 + 1.010 omega + 0.002 theta omega + -0.051 omega^2,0.001 1 + -0.001 theta + 0.021 omega + 0.005 theta omega + -0.102 omega^2,1.2674916586e-03,-8.4754276244e-04,2.0549909480e-02,-4.2315439215e-06,4.6243494891e-03,-1.0223343043e-01
15041,2024-10-08 02:55:00,0.064886,6.175712,4.367129,-0.003 1 + 0.997 omega + -0.001 theta omega + 0.055 omega^2,-0.005 1 + 0.001 theta + -0.005 omega + -0.001 theta omega + 0.106 omega^2,-5.1156052226e-03,7.4397224120e-04,-5.0404121760e-03,-1.7271881570e-05,-1.0182731652e-03,1.0611562265e-01
15042,2024-10-08 03:00:00,nan,nan,nan,-0.002 1 + -0.001 theta + 1.004 omega + -0.001 theta omega + 0.028 omega^2,-0.004 1 + -0.001 theta + 0.009 omega + -0.003 theta omega + 0.055 omega^2,-4.1323669924e-03,-1.0896032339e-03,9.0498579829e-03,-1.8492380714e-05,-2.5823218969e-03,5.4593145170e-02
15043,2024-10-08 03:05:00,0.039500,1.938126,1.370747,0.002 1 + 0.001 theta + 1.011 omega + 0.001 theta omega + 0.052 omega^2,0.003 1 + 0.001 theta + 0.023 omega + 0.002 theta omega + 0.099 omega^2,3.1817438129e-03,1.1483272752e-03,2.2587242948e-02,6.7581349959e-05,1.7014316996e-03,9.9018285477e-02
15044,2024-10-08 03:10:00,0.037925,2.643128,1.869166,1.014 omega + -0.024 omega^2,0.001 1 + 0.028 omega + -0.047 omega^2,6.4170177060e-04,-3.2322957458e-04,2.8274122297e-02,6.6725003542e-06,-2.4982264860e-04,-4.6799512849e-02
15045,2024-10-08 03:15:00,0.048120,6.767264,4.785299,-0.001 1 + 1.001 omega + -0.001 theta omega + 0.048 omega^2,-0.002 1 + 0.002 omega + -0.001 theta omega + 0.094 omega^2,-2.4210208011e-03,7.0139476743e-05,1.8824422729e-03,3.9245190736e-06,-1.4000278936e-03,9.4475151958e-02
15046,2024-10-08 03:20:00,0.010479,0.335923,0.237649,0.006 1 + 0.960 omega + 0.001 theta omega + 0.043 omega^2,0.013 1 + -0.001 theta + -0.080 omega + 0.002 theta omega + 0.087 omega^2,1.2985970034e-02,-5.8292478914e-04,-8.0241741962e-02,3.6857572380e-06,2.2885409373e-03,8.6816238344e-02
15047,2024-10-08 03:25:00,0.334671,6.568017,4.650315,1.016 omega + 0.005 theta omega + -0.098 omega^2,-0.001 1 + -0.001 theta + 0.032 omega + 0.009 theta omega + -0.200 omega^2,-8.4900982099e-04,-9.1248753838e-04,3.2076497609e-02,-1.5483616940e-05,9.4293336959e-03,-2.0022004545e-01
15048,2024-10-08 03:30:00,0.019499,0.817543,0.578255,-0.001 1 + 1.011 omega + -0.001 theta omega + -0.043 omega^2,-0.001 1 + 0.001 theta + 0.023 omega + -0.001 theta omega + -0.082 omega^2,-1.4145853200e-03,6.2572957821e-04,2.3428962978e-02,-2.9469341907e-05,-1.2623826795e-03,-8.1924916403e-02
