Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
69550,2025-04-23 10:20:00,nan,nan,nan,-0.001 1 + -0.001 theta + 1.009 omega + 0.005 theta omega + 0.016 omega^2,-0.002 1 + -0.001 theta + 0.018 omega + 0.009 theta omega + 0.037 omega^2,-1.7544910663e-03,-1.0871332314e-03,1.7621853815e-02,3.1309916006e-05,9.0789742475e-03,3.7364191696e-02
69551,2025-04-23 10:25:00,0.042805,3.855115,2.726146,0.995 omega + 0.001 theta omega + -0.021 omega^2,-0.011 omega + 0.001 theta omega + -0.027 omega^2,-1.5241201140e-04,1.0173398271e-04,-1.0726034179e-02,-5.4478659657e-06,1.0725439624e-03,-2.6996216985e-02
69552,2025-04-23 10:30:00,0.018006,0.793542,0.561263,1.003 omega + 0.005 omega^2,0.006 omega + 0.012 omega^2,-4.2345178529e-04,2.9626248716e-05,6.2178746546e-03,-1.7363556981e-07,-3.3018425373e-04,1.1647948474e-02
69553,2025-04-23 10:35:00,0.022202,1.045067,0.739140,0.993 omega + 0.050 omega^2,-0.001 1 + -0.013 omega + -0.001 theta omega + 0.105 omega^2,-6.9694097606e-04,2.0971410054e-04,-1.3417201743e-02,-1.5401092524e-06,-9.2326417549e-04,1.0520748258e-01
69554,2025-04-23 10:40:00,nan,nan,nan,-0.004 1 + 1.030 omega + -0.001 theta omega + -0.025 omega^2,-0.010 1 + 0.067 omega + -0.002 theta omega + -0.061 omega^2,-9.5222471415e-03,4.8711395097e-04,6.7282614904e-02,-5.6460010927e-06,-2.2856687922e-03,-6.0927798920e-02
69555,2025-04-23 10:45:00,0.042915,3.026409,2.140210,1.008 omega + -0.001 theta omega + 0.006 omega^2,0.020 omega + -0.001 theta omega + -0.015 omega^2,-4.2666223818e-04,3.2421232061e-05,2.0315851301e-02,1.1565071767e-07,-1.3513906765e-03,-1.4789442323e-02
69556,2025-04-23 10:50:00,0.022794,2.056083,1.453960,-0.012 1 + 1.153 omega + 0.001 theta omega + -0.476 omega^2,-0.023 1 + 0.301 omega + 0.001 theta omega + -0.925 omega^2,-2.2981887426e-02,-2.6884621907e-04,3.0124860124e-01,2.2977076669e-06,9.2206270470e-04,-9.2513468821e-01
69557,2025-04-23 10:55:00,0.012623,1.118825,0.791179,-0.004 1 + 1.026 omega + -0.001 theta omega + -0.034 omega^2,-0.008 1 + 0.049 omega + -0.001 theta omega + -0.050 omega^2,-8.4961325475e-03,2.8208708271e-04,4.8521888234e-02,-1.1190497329e-06,-1.0580811701e-03,-5.0358741060e-02
69558,2025-04-23 11:00:00,0.043444,2.733880,1.933389,1.020 omega + -0.119 omega^2,0.045 omega + -0.246 omega^2,-1.0977546146e-04,-3.1710346844e-04,4.4564975453e-02,1.0832663110e-05,-3.7246897105e-05,-2.4601906756e-01
69559,2025-04-23 11:05:00,0.023228,0.440853,0.312163,0.005 1 + 0.946 omega + 0.003 theta omega + -0.033 omega^2,0.010 1 + -0.105 omega + 0.005 theta omega + -0.073 omega^2,9.8374630849e-03,3.3831354710e-04,-1.0450072087e-01,-4.8294943639e-05,5.0654625433e-03,-7.2840445443e-02
69560,2025-04-23 11:10:00,0.068409,7.083039,5.008698,-0.001 1 + 1.016 omega + -0.002 theta omega + 0.009 omega^2,-0.003 1 + 0.034 omega + -0.004 theta omega + 0.020 omega^2,-2.7760829027e-03,3.6759394707e-04,3.3785011519e-02,-1.5965697124e-06,-3.9603529346e-03,2.0381537811e-02
