Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
88409,2025-06-28 01:30:00,0.002846,0.020817,0.014857,0.070905,2.031747,1.437537,9.2159,9115,0,1.00000omega,0.083551 + -0.00222theta + -0.04644omega + -0.00133theta^2 + -0.00268theta omega + 0.03679omega^2 + -0.00018theta^3 + 0.00132theta^2 omega + -0.00026theta omega^2 + -0.02728omega^3,-0.248305*omega**3 - 7.9e-5*omega**2*theta + 0.019647*omega**2 + 1.3e-5*omega*theta**2 + 0.00016*omega*theta - 0.001115*omega - 2.0e-6*theta**2 - 2.6e-5*theta + 7.0e-5
88410,2025-06-28 01:35:00,0.004220,0.030314,0.021642,0.122731,11.783940,8.332956,26.9566,9999,0,1.00000omega,-0.072091 + -0.00541theta + 0.03182omega + -0.00010theta^2 + 0.00334theta omega + -0.00853omega^2 + -0.00038theta^3 + -0.00018theta^2 omega + -0.00577theta omega^2 + 0.00614omega^3,0.061455*omega**3 - 0.001925*omega**2*theta - 0.034263*omega**2 - 2.0e-6*omega*theta**2 + 3.0e-6*omega*theta + 0.001576*omega - 7.0e-6*theta**2 - 0.000106*theta - 0.000744
88411,2025-06-28 01:40:00,0.005535,0.039195,0.027990,0.054414,1.166365,0.825642,54.5063,9999,0,1.00000omega,0.007891 + -0.00464theta + 0.02177omega + 0.00025theta^2 + 0.00296theta omega + 0.00607omega^2 + -0.00007theta^3 + 0.00021theta^2 omega + -0.00075theta omega^2 + -0.00025omega^3,-0.002879*omega**3 - 0.000288*omega**2*theta - 0.001179*omega**2 + 3.0e-6*omega*theta**2 + 0.000153*omega*theta + 0.002566*omega - 1.0e-6*theta**2 - 2.6e-5*theta - 0.000174
88412,2025-06-28 01:45:00,0.003523,0.019607,0.014086,0.277935,5.600497,3.965023,10.6265,4726,0,1.00000omega,0.001371 + -0.25940theta + 0.01760omega + -0.10869theta^2 + -0.04522theta omega + -0.03992omega^2 + -0.23802theta^3 + 0.20480theta^2 omega + -0.07051theta omega^2 + -0.02599omega^3,-0.176769*omega**3 - 0.015986*omega**2*theta - 0.021889*omega**2 + 0.001548*omega*theta**2 - 0.00016*omega*theta + 0.000508*omega - 6.0e-5*theta**3 - 9.0e-5*theta**2 - 0.000315*theta - 5.1e-5
88413,2025-06-28 01:50:00,0.004469,0.026976,0.019335,0.066304,2.022078,1.430593,11.0493,6179,1,1.00000omega,-0.096991 + -0.15053theta + -0.03276omega + -0.04114theta^2 + -0.03362theta omega + -0.08812omega^2 + -0.00220theta^3 + -0.00211theta^2 omega + -0.01659theta omega^2 + -0.06403omega^3,-0.291548*omega**3 - 0.002518*omega**2*theta - 0.034918*omega**2 - 1.1e-5*omega*theta**2 - 0.000442*omega*theta - 0.001195*omega - 1.8e-5*theta**2 - 0.000176*theta - 0.000317
88414,2025-06-28 01:55:00,0.003248,0.030056,0.021377,0.120931,2.740142,1.939459,5.9759,5777,1,1.00000omega,-0.067221 + -0.63763theta + -0.07711omega + -0.53716theta^2 + 0.09564theta omega + 0.09487omega^2 + -1.28605theta^3 + 0.61612theta^2 omega + -0.25024theta omega^2 + -0.16171omega^3,-0.817731*omega**3 - 0.04218*omega**2*theta + 0.070629*omega**2 + 0.003462*omega*theta**2 - 0.003891*omega*theta - 0.001601*omega - 0.000241*theta**3 + 0.000298*theta**2 - 0.000748*theta + 0.000314
88415,2025-06-28 02:00:00,0.003590,0.023094,0.016526,0.047625,2.983886,2.110195,18.2107,7763,2,1.00000omega,-0.026411 + 0.01220theta + -0.58539omega + 0.06861theta^2 + 0.02427theta omega + -0.01625omega^2 + -0.01670theta^3 + -0.02383theta^2 omega + 0.01338theta omega^2 + 0.00082omega^3,0.008843*omega**3 + 0.00481*omega**2*theta - 0.048917*omega**2 - 0.000286*omega*theta**2 + 0.005136*omega*theta - 0.042405*omega - 7.0e-6*theta**3 + 0.000209*theta**2 - 0.002058*theta + 0.006476
88416,2025-06-28 02:05:00,0.002655,0.016001,0.011469,nan,nan,nan,7.9035,6300,0,1.00000omega,0.095681 + -1.35771theta + 0.18193omega + -0.30615theta^2 + -0.01992theta omega + 0.22359omega^2 + -0.59050theta^3 + 0.11887theta^2 omega + 0.04115theta omega^2 + 0.04652omega^3,0.385393*omega**3 + 0.011364*omega**2*theta + 0.14533*omega**2 + 0.001094*omega*theta**2 + 0.005011*omega*theta + 0.011775*omega - 0.000181*theta**3 - 0.00151*theta**2 - 0.005645*theta - 0.007228
88417,2025-06-28 02:10:00,0.004168,0.041218,0.029294,0.093636,5.210862,3.685230,31.4529,9999,0,1.00000omega,-0.138901 + -0.00681theta + -0.09245omega + -0.00138theta^2 + 0.00133theta omega + -0.00917omega^2 + 0.00001theta^3 + -0.00052theta^2 omega + 0.00188theta omega^2 + -0.00157omega^3,-0.01869*omega**3 + 0.000746*omega**2*theta - 0.017311*omega**2 - 7.0e-6*omega*theta**2 + 0.000241*omega*theta - 0.005158*omega - 1.0e-6*theta**2 + 2.5e-5*theta - 0.000375
88418,2025-06-28 02:15:00,0.006327,0.032014,0.023075,0.054111,2.126445,1.504110,66.0233,9999,0,1.00000omega,0.011011 + -0.00663theta + 0.00310omega + 0.00163theta^2 + -0.00182theta omega + -0.00282omega^2 + -0.00009theta^3 + 0.00018theta^2 omega + -0.00107theta omega^2 + -0.00406omega^3,-0.044883*omega**3 - 0.000394*omega**2*theta + 0.006686*omega**2 + 2.0e-6*omega*theta**2 - 0.000131*omega*theta + 0.001891*omega + 3.0e-6*theta**2 - 0.000104*theta + 0.001032
