Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
79354,2025-05-27 13:50:00,0.004707,0.015261,0.011293,0.083256,4.620424,3.267664,81.4530,9999,0,1.00000omega,-0.009061 + -0.24655theta + 0.03166omega + 0.13028theta^2 + -0.13158theta omega + -0.42082omega^2 + -0.00481theta^3 + 0.00692theta^2 omega + -0.02031theta omega^2 + -0.02282omega^3,-0.056592*omega**3 - 0.001679*omega**2*theta - 0.118073*omega**2 + 1.9e-5*omega*theta**2 - 0.001327*omega*theta + 0.003305*omega + 4.4e-5*theta**2 - 0.000423*theta + 0.000569,4.078345e-04,1.301109e-05
79355,2025-05-27 13:55:00,nan,nan,nan,nan,nan,nan,5584.1138,4226,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
79356,2025-05-27 14:00:00,nan,nan,nan,nan,nan,nan,30219.3340,699,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
79357,2025-05-27 14:05:00,0.004868,0.007919,0.006573,0.044598,1.289682,0.912488,119.6137,6415,0,1.00000omega,0.035771 + -0.22715theta + 0.01480omega + 0.03191theta^2 + 0.38837theta omega + -0.02113omega^2 + -0.09084theta^3 + -0.01574theta^2 omega + 0.05850theta omega^2 + -0.01371omega^3,-0.046678*omega**3 + 0.006639*omega**2*theta + 0.019217*omega**2 - 6.0e-5*omega*theta**2 + 0.003889*omega*theta + 0.016856*omega - 1.1e-5*theta**3 - 0.000124*theta**2 - 0.000698*theta - 0.00141,8.491367e-05,1.819776e-05
79358,2025-05-27 14:10:00,0.004055,0.005772,0.004988,nan,nan,nan,106.9840,7797,0,1.00000omega,-0.012211 + -1.05809theta + 0.83019omega + 0.16514theta^2 + 0.07075theta omega + -0.18185omega^2 + 0.00304theta^3 + -0.00001theta^2 omega + -0.00524theta omega^2 + 0.11140omega^3,0.50095*omega**3 - 0.000785*omega**2*theta - 0.070207*omega**2 + 0.000913*omega*theta + 0.027443*omega + 1.0e-6*theta**3 + 7.1e-5*theta**2 - 0.001211*theta + 0.000266,8.814977e-05,9.418271e-06
79359,2025-05-27 14:15:00,0.005040,0.005085,0.005063,0.104715,5.316622,3.760149,385.9809,9999,1,1.00000omega,-0.049911 + -0.04892theta + -0.00666omega + -0.00321theta^2 + -0.00593theta omega + 0.01374omega^2 + -0.00132theta^3 + -0.00041theta^2 omega + -0.00229theta omega^2 + 0.00159omega^3,0.015932*omega**3 - 0.000765*omega**2*theta + 0.017384*omega**2 - 5.0e-6*omega*theta**2 - 2.0e-6*omega*theta + 0.000493*omega + 1.6e-5*theta**2 - 0.000227*theta + 0.001183,6.443940e-05,1.508820e-05
79360,2025-05-27 14:20:00,0.006086,0.024842,0.018085,0.094480,12.019803,8.499547,440.7610,9999,0,1.00000omega,0.015641 + -0.00264theta + 0.00374omega + 0.00023theta^2 + -0.00027theta omega + -0.00150omega^2 + -0.00020theta^3 + -0.00010theta^2 omega + 0.00058theta omega^2 + -0.00280omega^3,-0.021776*omega**3 + 0.00015*omega**2*theta - 0.003278*omega**2 - 0.e-6*omega*theta**2 + 2.4e-5*omega*theta - 4.0e-5*omega + 3.0e-6*theta**2 - 5.6e-5*theta + 0.000389,2.338869e-04,8.465579e-06
79361,2025-05-27 14:25:00,0.007688,0.034640,0.025090,0.042097,2.081031,1.471812,249.6576,9999,0,1.00000omega,-0.159931 + -0.08480theta + -0.03970omega + -0.00083theta^2 + -0.01501theta omega + -0.00260omega^2 + -0.00060theta^3 + 0.00165theta^2 omega + -0.00698theta omega^2 + -0.00758omega^3,-0.021001*omega**3 - 0.000645*omega**2*theta + 0.010622*omega**2 + 5.0e-6*omega*theta**2 - 0.000332*omega*theta + 0.00296*omega + 3.0e-6*theta**2 - 0.000142*theta + 0.001337,5.740597e-04,1.135765e-05
79362,2025-05-27 14:30:00,0.005038,0.006578,0.005859,0.070758,2.882384,2.038767,146.9855,6210,0,1.00000omega,0.185171 + -0.23169theta + -0.00384omega + 0.04391theta^2 + 0.08935theta omega + 0.20097omega^2 + -0.01474theta^3 + -0.04825theta^2 omega + -0.08556theta omega^2 + -0.01196omega^3,-0.046915*omega**3 - 0.011187*omega**2*theta + 0.026003*omega**2 - 0.00021*omega*theta**2 - 0.000678*omega*theta + 0.000705*omega - 2.0e-6*theta**3 - 9.0e-6*theta**2 - 0.000222*theta - 0.000353,1.844484e-04,1.311671e-05
79363,2025-05-27 14:35:00,0.005072,0.006359,0.005752,0.055074,1.690598,1.196067,95.4888,6322,0,1.00000omega,-0.020231 + -0.00380theta + 0.00010omega + -0.05287theta^2 + -0.12098theta omega + 0.03114omega^2 + -0.05950theta^3 + 0.00756theta^2 omega + -0.00059theta omega^2 + -0.13518omega^3,-0.344833*omega**3 - 5.0e-5*omega**2*theta + 0.009554*omega**2 + 2.1e-5*omega*theta**2 - 0.001581*omega*theta + 0.013026*omega - 6.0e-6*theta**3 + 0.000142*theta**2 - 0.001186*theta + 0.003175,1.367971e-04,1.691757e-05
